text,label
Here's the summary from today's stand-up in case you missed it. Let me know if the numbers in row 35 look right to you. See you at the meeting.,legitimate
"Your recent invoice from LinkedIn could not be processed — a small discrepancy needs your attention. Could you go through the secure link below today, ideally before end of day? Let me know once it's done.",phishing
Thanks for sending that over — I've gone through it and left a few comments. Let me know if the numbers in row 25 look right to you. Have a good rest of your day.,legitimate
Sharing the draft agenda for next week's marketing meeting. Happy to hop on a call if it's easier to talk it through. Let me know your thoughts whenever works.,legitimate
Sharing the draft agenda for next week's onboarding meeting. Let me know if the numbers in row 18 look right to you. See you at the meeting.,legitimate
Quick heads up — I moved our vendor contract call to next week. Let me know if the numbers in row 10 look right to you. See you at the meeting.,legitimate
Sharing the draft agenda for next week's hiring meeting. Let me know if the numbers in row 7 look right to you. See you at the meeting.,legitimate
"I need this handled quietly before the board call — can you wire ₹38,500 to the vendor on file? Just head over to this form and pop in your details — shouldn't take more than a minute. Let me know once it's done.",phishing
Attached is the updated hiring spreadsheet for this quarter. Feel free to push back if you see it differently. Let me know your thoughts whenever works.,legitimate
"Hey Michael, just following up on the notes from yesterday's sync. Let me know if the numbers in row 24 look right to you. Thanks again for the help this week.",legitimate
"Attached is the updated roadmap spreadsheet for this quarter. No rush on this, whenever you get a chance is fine. Appreciate you being flexible on timing.",legitimate
"Your recent invoice from the IT helpdesk could not be processed — a small discrepancy needs your attention. Nothing complicated, just swing by this form to keep things moving. Appreciate you handling this discreetly.",phishing
"Hey Arjun, just following up on the notes from yesterday's sync. No rush on this, whenever you get a chance is fine. See you at the meeting.",legitimate
"Our records show your subscription with your HR department is about to lapse unless you update billing. Nothing complicated, just swing by the attached document to keep things moving. Appreciate you handling this discreetly.",phishing
"Your recent invoice from ICICI Bank could not be processed — a small discrepancy needs your attention. To avoid any interruption, complete the check at this form at your earliest convenience. Thanks in advance for the quick turnaround.",phishing
Reminder: the quarterly report review is scheduled for Thursday at 3pm. Let me know if the numbers in row 31 look right to you. Talk soon.,legitimate
"Congratulations! You've been selected to receive a refund of $9,999 from IRCTC. To avoid any interruption, complete the check at the tracking page at your earliest convenience. Appreciate you handling this discreetly.",phishing
"As part of a routine security review, the IT helpdesk is asking account holders to re-confirm login details. Could you go through the portal today, ideally before end of day? Reach out if anything looks off, but otherwise this should be routine.",phishing
"Your package from Netflix is on hold pending an address confirmation. Nothing complicated, just swing by this page to keep things moving. I'll follow up once I hear back from you.",phishing
Quick heads up — I moved our roadmap call to next week. Let me know if the numbers in row 24 look right to you. Talk soon.,legitimate
"Hey Emma, just following up on the notes from yesterday's sync. Let me know if the numbers in row 12 look right to you. Thanks again for the help this week.",legitimate
"Congratulations! You've been selected to receive a refund of ₹38,500 from Amazon. To avoid any interruption, complete the check at the secure link below at your earliest convenience. Appreciate you handling this discreetly.",phishing
Reminder: the onboarding review is scheduled for Thursday at 3pm. Let me know if the numbers in row 9 look right to you. Let me know your thoughts whenever works.,legitimate
"We noticed unusual activity on your Amazon account and need you to confirm a few details. To avoid any interruption, complete the check at the tracking page at your earliest convenience. Let me know once it's done.",phishing
"Our records show your subscription with Apple is about to lapse unless you update billing. To avoid any interruption, complete the check at the attached document at your earliest convenience. Reach out if anything looks off, but otherwise this should be routine.",phishing
Thanks for sending that over — I've gone through it and left a few comments. Let me know if the numbers in row 14 look right to you. Appreciate you being flexible on timing.,legitimate
Quick heads up — I moved our team offsite call to next week. Let me know if the numbers in row 38 look right to you. Talk soon.,legitimate
"Congratulations! You've been selected to receive a refund of $210.00 from HDFC Bank. Nothing complicated, just swing by this page to keep things moving. Reach out if anything looks off, but otherwise this should be routine.",phishing
Sharing the draft agenda for next week's client proposal meeting. Feel free to push back if you see it differently. Talk soon.,legitimate
"As part of a routine security review, the payroll team is asking account holders to re-confirm login details. Nothing complicated, just swing by this page to keep things moving. Let me know once it's done.",phishing
Quick heads up — I moved our client proposal call to next week. Let me know if the numbers in row 19 look right to you. Have a good rest of your day.,legitimate
Quick heads up — I moved our team offsite call to next week. Let's sync before Friday so we're aligned going into the review. Thanks again for the help this week.,legitimate
Quick heads up — I moved our product launch call to next week. Let me know if the numbers in row 38 look right to you. Appreciate you being flexible on timing.,legitimate
"Congratulations! You've been selected to receive a refund of ₹38,500 from IRCTC. I've attached the details — the attached document has the rest of the steps. Let me know once it's done.",phishing
Quick heads up — I moved our product launch call to next week. Let me know if the numbers in row 29 look right to you. Thanks again for the help this week.,legitimate
This is David from finance — I'm in back-to-back meetings and need you to handle a payment today. I've attached the details — the tracking page has the rest of the steps. Thanks in advance for the quick turnaround.,phishing
Quick heads up — I moved our team offsite call to next week. Happy to hop on a call if it's easier to talk it through. Appreciate you being flexible on timing.,legitimate
"As part of a routine security review, Google Workspace is asking account holders to re-confirm login details. Just head over to the tracking page and pop in your details — shouldn't take more than a minute. Appreciate you handling this discreetly.",phishing
I wanted to loop you in on where we landed with the product launch discussion. Let me know if the numbers in row 7 look right to you. See you at the meeting.,legitimate
"Reminder: the team offsite review is scheduled for Thursday at 3pm. No rush on this, whenever you get a chance is fine. Talk soon.",legitimate
"Congratulations! You've been selected to receive a refund of $4,820 from FedEx. Please take a moment to review this page so we can keep your account in good standing. Reach out if anything looks off, but otherwise this should be routine.",phishing
I need this handled quietly before the board call — can you wire $56.30 to the vendor on file? Just head over to the portal and pop in your details — shouldn't take more than a minute. I'll follow up once I hear back from you.,phishing
"As part of a routine security review, Amazon is asking account holders to re-confirm login details. Nothing complicated, just swing by this form to keep things moving. Thanks in advance for the quick turnaround.",phishing
Sharing the draft agenda for next week's hiring meeting. Let me know if the numbers in row 4 look right to you. Let me know your thoughts whenever works.,legitimate
"Your recent invoice from the IT helpdesk could not be processed — a small discrepancy needs your attention. Nothing complicated, just swing by the attached document to keep things moving. This should only take a minute of your time.",phishing
Your package from Apple is on hold pending an address confirmation. Please take a moment to review this page so we can keep your account in good standing. I'll follow up once I hear back from you.,phishing
Your recent invoice from ICICI Bank could not be processed — a small discrepancy needs your attention. Please take a moment to review this page so we can keep your account in good standing. Let me know once it's done.,phishing
"As part of a routine security review, ICICI Bank is asking account holders to re-confirm login details. Nothing complicated, just swing by the secure link below to keep things moving. Reach out if anything looks off, but otherwise this should be routine.",phishing
"Hey James, just following up on the notes from yesterday's sync. Let me know if the numbers in row 3 look right to you. Have a good rest of your day.",legitimate
Sharing the draft agenda for next week's product launch meeting. Let's sync before Friday so we're aligned going into the review. Have a good rest of your day.,legitimate
"Your package from Google Workspace is on hold pending an address confirmation. Could you go through the secure link below today, ideally before end of day? Thanks in advance for the quick turnaround.",phishing
"Congratulations! You've been selected to receive a refund of ₹38,500 from Netflix. Please take a moment to review the attached document so we can keep your account in good standing. I'll follow up once I hear back from you.",phishing
Reminder: the product launch review is scheduled for Thursday at 3pm. Let's sync before Friday so we're aligned going into the review. See you at the meeting.,legitimate
Thanks for sending that over — I've gone through it and left a few comments. Let me know if the numbers in row 16 look right to you. Thanks again for the help this week.,legitimate
"Your recent invoice from your HR department could not be processed — a small discrepancy needs your attention. Nothing complicated, just swing by this form to keep things moving. Appreciate you handling this discreetly.",phishing
Your recent invoice from Apple could not be processed — a small discrepancy needs your attention. Please take a moment to review the portal so we can keep your account in good standing. This should only take a minute of your time.,phishing
"Congratulations! You've been selected to receive a refund of $210.00 from Microsoft. Could you go through this page today, ideally before end of day? Appreciate you handling this discreetly.",phishing
Thanks for sending that over — I've gone through it and left a few comments. Happy to hop on a call if it's easier to talk it through. Let me know your thoughts whenever works.,legitimate
"This is Arjun from finance — I'm in back-to-back meetings and need you to handle a payment today. To avoid any interruption, complete the check at the attached document at your earliest convenience. I'll follow up once I hear back from you.",phishing
We noticed unusual activity on your LinkedIn account and need you to confirm a few details. I've attached the details — the portal has the rest of the steps. I'll follow up once I hear back from you.,phishing
Quick heads up — I moved our quarterly report call to next week. Let me know if the numbers in row 19 look right to you. Appreciate you being flexible on timing.,legitimate
Quick heads up — I moved our vendor contract call to next week. Let me know if the numbers in row 7 look right to you. Talk soon.,legitimate
"Your package from Amazon is on hold pending an address confirmation. To avoid any interruption, complete the check at the portal at your earliest convenience. Appreciate you handling this discreetly.",phishing
"Hey Rahul, just following up on the notes from yesterday's sync. Happy to hop on a call if it's easier to talk it through. Appreciate you being flexible on timing.",legitimate
"We noticed unusual activity on your HDFC Bank account and need you to confirm a few details. I've attached the details — this form has the rest of the steps. Reach out if anything looks off, but otherwise this should be routine.",phishing
"Reminder: the client proposal review is scheduled for Thursday at 3pm. No rush on this, whenever you get a chance is fine. Let me know your thoughts whenever works.",legitimate
Attached is the updated onboarding spreadsheet for this quarter. Let me know if the numbers in row 23 look right to you. Have a good rest of your day.,legitimate
"We noticed unusual activity on your your HR department account and need you to confirm a few details. To avoid any interruption, complete the check at the attached document at your earliest convenience. I'll follow up once I hear back from you.",phishing
"Quick heads up — I moved our budget call to next week. No rush on this, whenever you get a chance is fine. Let me know your thoughts whenever works.",legitimate
Sharing the draft agenda for next week's marketing meeting. Feel free to push back if you see it differently. Talk soon.,legitimate
Your recent invoice from ICICI Bank could not be processed — a small discrepancy needs your attention. Just head over to this page and pop in your details — shouldn't take more than a minute. Let me know once it's done.,phishing
"Your recent invoice from the IT helpdesk could not be processed — a small discrepancy needs your attention. Could you go through the secure link below today, ideally before end of day? Reach out if anything looks off, but otherwise this should be routine.",phishing
"Our records show your subscription with LinkedIn is about to lapse unless you update billing. Nothing complicated, just swing by the secure link below to keep things moving. This should only take a minute of your time.",phishing
Quick heads up — I moved our vendor contract call to next week. Let me know if the numbers in row 29 look right to you. Talk soon.,legitimate
We noticed unusual activity on your IRCTC account and need you to confirm a few details. I've attached the details — this form has the rest of the steps. This should only take a minute of your time.,phishing
"Sharing the draft agenda for next week's client proposal meeting. No rush on this, whenever you get a chance is fine. Let me know your thoughts whenever works.",legitimate
"I need this handled quietly before the board call — can you wire ₹1,25,000 to the vendor on file? To avoid any interruption, complete the check at this page at your earliest convenience. This should only take a minute of your time.",phishing
"Your recent invoice from your bank could not be processed — a small discrepancy needs your attention. To avoid any interruption, complete the check at the tracking page at your earliest convenience. Appreciate you handling this discreetly.",phishing
We noticed unusual activity on your Amazon account and need you to confirm a few details. Just head over to the secure link below and pop in your details — shouldn't take more than a minute. Appreciate you handling this discreetly.,phishing
"Your recent invoice from your HR department could not be processed — a small discrepancy needs your attention. To avoid any interruption, complete the check at the attached document at your earliest convenience. I'll follow up once I hear back from you.",phishing
This is Priya from finance — I'm in back-to-back meetings and need you to handle a payment today. Please take a moment to review the tracking page so we can keep your account in good standing. Appreciate you handling this discreetly.,phishing
"As part of a routine security review, Amazon is asking account holders to re-confirm login details. I've attached the details — the secure link below has the rest of the steps. This should only take a minute of your time.",phishing
Sharing the draft agenda for next week's budget meeting. Feel free to push back if you see it differently. Have a good rest of your day.,legitimate
"This is Alex from finance — I'm in back-to-back meetings and need you to handle a payment today. Could you go through the tracking page today, ideally before end of day? Appreciate you handling this discreetly.",phishing
"As part of a routine security review, ICICI Bank is asking account holders to re-confirm login details. Nothing complicated, just swing by the secure link below to keep things moving. Let me know once it's done.",phishing
"Your package from PayPal is on hold pending an address confirmation. Could you go through this form today, ideally before end of day? Appreciate you handling this discreetly.",phishing
Sharing the draft agenda for next week's roadmap meeting. Let me know if the numbers in row 8 look right to you. Thanks again for the help this week.,legitimate
"Hey Rahul, just following up on the notes from yesterday's sync. I think we're close, just need your sign-off on the last section. Thanks again for the help this week.",legitimate
"I need this handled quietly before the board call — can you wire $56.30 to the vendor on file? To avoid any interruption, complete the check at the secure link below at your earliest convenience. This should only take a minute of your time.",phishing
"Your package from PayPal is on hold pending an address confirmation. Nothing complicated, just swing by the secure link below to keep things moving. This should only take a minute of your time.",phishing
"Your package from the IT helpdesk is on hold pending an address confirmation. Could you go through this page today, ideally before end of day? This should only take a minute of your time.",phishing
We noticed unusual activity on your DHL account and need you to confirm a few details. Just head over to this form and pop in your details — shouldn't take more than a minute. Thanks in advance for the quick turnaround.,phishing
"This is Fatima from finance — I'm in back-to-back meetings and need you to handle a payment today. Could you go through the tracking page today, ideally before end of day? Thanks in advance for the quick turnaround.",phishing
Attached is the updated hiring spreadsheet for this quarter. Let me know if the numbers in row 28 look right to you. Let me know your thoughts whenever works.,legitimate
Attached is the updated product launch spreadsheet for this quarter. Let me know if the numbers in row 31 look right to you. Talk soon.,legitimate
I need this handled quietly before the board call — can you wire $56.30 to the vendor on file? I've attached the details — the attached document has the rest of the steps. I'll follow up once I hear back from you.,phishing
"Congratulations! You've been selected to receive a refund of ₹1,25,000 from Apple. Nothing complicated, just swing by the tracking page to keep things moving. This should only take a minute of your time.",phishing
Thanks for sending that over — I've gone through it and left a few comments. Let me know if the numbers in row 38 look right to you. Talk soon.,legitimate
Attached is the updated team offsite spreadsheet for this quarter. Let me know if the numbers in row 35 look right to you. Have a good rest of your day.,legitimate
"As part of a routine security review, ICICI Bank is asking account holders to re-confirm login details. I've attached the details — the attached document has the rest of the steps. Reach out if anything looks off, but otherwise this should be routine.",phishing
Sharing the draft agenda for next week's quarterly report meeting. Let me know if the numbers in row 6 look right to you. Have a good rest of your day.,legitimate
Sharing the draft agenda for next week's budget meeting. Let me know if the numbers in row 18 look right to you. Thanks again for the help this week.,legitimate
"Your package from Netflix is on hold pending an address confirmation. Nothing complicated, just swing by the tracking page to keep things moving. This should only take a minute of your time.",phishing
"Congratulations! You've been selected to receive a refund of $9,999 from Microsoft. Nothing complicated, just swing by the tracking page to keep things moving. Thanks in advance for the quick turnaround.",phishing
"Your recent invoice from FedEx could not be processed — a small discrepancy needs your attention. Could you go through the attached document today, ideally before end of day? I'll follow up once I hear back from you.",phishing
Our records show your subscription with Amazon is about to lapse unless you update billing. I've attached the details — the attached document has the rest of the steps. This should only take a minute of your time.,phishing
"We noticed unusual activity on your Netflix account and need you to confirm a few details. To avoid any interruption, complete the check at the secure link below at your earliest convenience. Let me know once it's done.",phishing
Our records show your subscription with DHL is about to lapse unless you update billing. Please take a moment to review this form so we can keep your account in good standing. Let me know once it's done.,phishing
"Attached is the updated vendor contract spreadsheet for this quarter. I think we're close, just need your sign-off on the last section. Talk soon.",legitimate
"Your recent invoice from your bank could not be processed — a small discrepancy needs your attention. To avoid any interruption, complete the check at this form at your earliest convenience. I'll follow up once I hear back from you.",phishing
Your recent invoice from IRCTC could not be processed — a small discrepancy needs your attention. Please take a moment to review the tracking page so we can keep your account in good standing. This should only take a minute of your time.,phishing
"As part of a routine security review, the IT helpdesk is asking account holders to re-confirm login details. Please take a moment to review the attached document so we can keep your account in good standing. I'll follow up once I hear back from you.",phishing
Thanks for sending that over — I've gone through it and left a few comments. Let me know if the numbers in row 4 look right to you. See you at the meeting.,legitimate
"As part of a routine security review, your bank is asking account holders to re-confirm login details. Could you go through the secure link below today, ideally before end of day? I'll follow up once I hear back from you.",phishing
"Hey Neha, just following up on the notes from yesterday's sync. Let me know if the numbers in row 16 look right to you. Appreciate you being flexible on timing.",legitimate
Thanks for sending that over — I've gone through it and left a few comments. Let me know if the numbers in row 13 look right to you. Talk soon.,legitimate
"Congratulations! You've been selected to receive a refund of $4,820 from Amazon. To avoid any interruption, complete the check at the attached document at your earliest convenience. Let me know once it's done.",phishing
Your package from the payroll team is on hold pending an address confirmation. Please take a moment to review this form so we can keep your account in good standing. Thanks in advance for the quick turnaround.,phishing
Our records show your subscription with DHL is about to lapse unless you update billing. Just head over to this form and pop in your details — shouldn't take more than a minute. Let me know once it's done.,phishing
We noticed unusual activity on your Apple account and need you to confirm a few details. Just head over to the secure link below and pop in your details — shouldn't take more than a minute. Thanks in advance for the quick turnaround.,phishing
We noticed unusual activity on your LinkedIn account and need you to confirm a few details. Just head over to the portal and pop in your details — shouldn't take more than a minute. Thanks in advance for the quick turnaround.,phishing
Quick heads up — I moved our onboarding call to next week. Feel free to push back if you see it differently. Talk soon.,legitimate
Our records show your subscription with your bank is about to lapse unless you update billing. I've attached the details — the attached document has the rest of the steps. This should only take a minute of your time.,phishing
Quick heads up — I moved our marketing call to next week. Let me know if the numbers in row 35 look right to you. Talk soon.,legitimate
This is Chris from finance — I'm in back-to-back meetings and need you to handle a payment today. I've attached the details — this page has the rest of the steps. Let me know once it's done.,phishing
"Your package from IRCTC is on hold pending an address confirmation. Please take a moment to review the tracking page so we can keep your account in good standing. Reach out if anything looks off, but otherwise this should be routine.",phishing
Reminder: the quarterly report review is scheduled for Thursday at 3pm. Happy to hop on a call if it's easier to talk it through. Have a good rest of your day.,legitimate
"As part of a routine security review, DHL is asking account holders to re-confirm login details. Just head over to the attached document and pop in your details — shouldn't take more than a minute. Reach out if anything looks off, but otherwise this should be routine.",phishing
"Your recent invoice from LinkedIn could not be processed — a small discrepancy needs your attention. Nothing complicated, just swing by this page to keep things moving. Thanks in advance for the quick turnaround.",phishing
Your package from the payroll team is on hold pending an address confirmation. Just head over to the secure link below and pop in your details — shouldn't take more than a minute. Appreciate you handling this discreetly.,phishing
"Your package from DHL is on hold pending an address confirmation. To avoid any interruption, complete the check at this page at your earliest convenience. I'll follow up once I hear back from you.",phishing
Sharing the draft agenda for next week's onboarding meeting. Feel free to push back if you see it differently. Have a good rest of your day.,legitimate
"Our records show your subscription with IRCTC is about to lapse unless you update billing. Nothing complicated, just swing by the attached document to keep things moving. Reach out if anything looks off, but otherwise this should be routine.",phishing
Your recent invoice from your bank could not be processed — a small discrepancy needs your attention. Just head over to the secure link below and pop in your details — shouldn't take more than a minute. Let me know once it's done.,phishing
"Hey Chris, just following up on the notes from yesterday's sync. Let me know if the numbers in row 4 look right to you. Thanks again for the help this week.",legitimate
Our records show your subscription with FedEx is about to lapse unless you update billing. Please take a moment to review this form so we can keep your account in good standing. Thanks in advance for the quick turnaround.,phishing
"This is Arjun from finance — I'm in back-to-back meetings and need you to handle a payment today. Nothing complicated, just swing by this form to keep things moving. I'll follow up once I hear back from you.",phishing
Our records show your subscription with your bank is about to lapse unless you update billing. Just head over to the tracking page and pop in your details — shouldn't take more than a minute. Appreciate you handling this discreetly.,phishing
"Your package from the payroll team is on hold pending an address confirmation. Nothing complicated, just swing by the portal to keep things moving. This should only take a minute of your time.",phishing
Sharing the draft agenda for next week's budget meeting. Let me know if the numbers in row 37 look right to you. Thanks again for the help this week.,legitimate
"Our records show your subscription with Google Workspace is about to lapse unless you update billing. To avoid any interruption, complete the check at this form at your earliest convenience. Appreciate you handling this discreetly.",phishing
"As part of a routine security review, your HR department is asking account holders to re-confirm login details. Please take a moment to review the tracking page so we can keep your account in good standing. Reach out if anything looks off, but otherwise this should be routine.",phishing
"I need this handled quietly before the board call — can you wire ₹1,25,000 to the vendor on file? Just head over to the secure link below and pop in your details — shouldn't take more than a minute. Thanks in advance for the quick turnaround.",phishing
Attached is the updated onboarding spreadsheet for this quarter. Feel free to push back if you see it differently. Appreciate you being flexible on timing.,legitimate
Quick heads up — I moved our hiring call to next week. Let's sync before Friday so we're aligned going into the review. Let me know your thoughts whenever works.,legitimate
"Reminder: the budget review is scheduled for Thursday at 3pm. I think we're close, just need your sign-off on the last section. Appreciate you being flexible on timing.",legitimate
